 2022-06-15 02:44:23,480 - 'f'
 2022-06-15 02:44:23,611 - 'a'
 2022-06-15 02:44:23,613 - 's'
 2022-06-15 02:44:23,765 - 'f'
 2022-06-15 02:44:23,921 - 'a'
 2022-06-15 02:44:23,922 - 's'
 2022-06-15 02:44:24,053 - 'f'
 2022-06-15 02:44:24,188 - 'a'
 2022-06-15 02:44:24,189 - 's'
 2022-06-15 02:44:24,314 - 'f'
 2022-06-15 02:44:24,456 - 'a'
 2022-06-15 02:44:24,542 - 'f'
 2022-06-15 02:44:24,740 - 'f'
 2022-06-15 02:44:24,803 - 'a'
 2022-06-15 02:44:24,804 - 's'
 2022-06-15 02:44:34,471 - 'f'
 2022-06-15 02:44:34,688 - 'a'
 2022-06-15 02:44:34,689 - 's'
 2022-06-15 02:44:34,814 - 'f'
 2022-06-15 02:44:48,137 - Key.alt_l
 2022-06-15 02:44:48,187 - Key.tab
 2022-06-15 02:44:53,641 - Key.shift
 2022-06-15 02:44:53,687 - Key.delete
 2022-06-15 02:44:54,530 - Key.enter
 2022-06-15 02:44:59,817 - Key.alt_l
 2022-06-15 02:44:59,874 - Key.tab
 2022-06-15 02:45:03,046 - 'd'
 2022-06-15 02:45:03,477 - 's'
 2022-06-15 02:45:04,404 - 'd'
 2022-06-15 02:45:04,907 - 'd'
 2022-06-15 02:45:04,938 - 'd'
 2022-06-15 02:45:04,957 - 'a'
 2022-06-15 02:45:05,657 - 'a'
 2022-06-15 02:45:05,688 - 'a'
 2022-06-15 02:45:05,720 - 'a'
 2022-06-15 02:45:05,752 - 'a'
 2022-06-15 02:45:05,784 - 'a'
 2022-06-15 02:45:05,830 - 'a'
 2022-06-15 02:45:05,861 - 'a'
 2022-06-15 02:45:05,894 - 'a'
 2022-06-15 02:45:05,924 - 'a'
 2022-06-15 02:45:05,954 - 'a'
 2022-06-15 02:45:05,986 - 'a'
 2022-06-15 02:45:06,017 - 'a'
 2022-06-15 02:45:06,048 - 'a'
 2022-06-15 02:45:06,094 - 'a'
 2022-06-15 02:45:06,125 - 'a'
 2022-06-15 02:45:06,157 - 'a'
 2022-06-15 02:45:06,188 - 'a'
 2022-06-15 02:45:06,219 - 'a'
 2022-06-15 02:45:06,249 - 'a'
 2022-06-15 02:45:06,251 - 'd'
 2022-06-15 02:45:06,860 - 'd'
 2022-06-15 02:45:06,891 - 'd'
 2022-06-15 02:45:06,923 - 'd'
 2022-06-15 02:45:06,954 - 'd'
 2022-06-15 02:45:06,986 - 'd'
 2022-06-15 02:45:07,017 - 'd'
 2022-06-15 02:45:07,049 - 'd'
